shape,latitude,longitude,radius,name,value
circle,32.66662961,-101.7024793,6,MESQCRK_ALL,13.54416667
circle,32.32999941,-100.9195063,6,MGSES_CT123,12.70333333
circle,35.64019641,-100.6431629,6,MIAM1_G1_G2,12.7525
circle,32.64792793,-98.34030112,6,MIL_MILG1_2,13.56583333
circle,29.67436114,-95.07023741,6,MIRAGE_G1,12.41
circle,26.49507588,-98.40938697,6,MIRASOLE_GEN,14.77666667
circle,34.36848231,-100.1135047,6,MISAE_GEN_RN,14.81916667
circle,32.25519269,-94.60966506,6,MLSES_UNIT1,14.79916667
circle,32.98455814,-100.5510484,6,MOZART_WIND1,12.53
circle,33.75132693,-100.9885921,6,MWEC_G1,12.07083333
circle,31.8250541,-94.93206571,6,NACPW_UNIT1,13.92083333
circle,31.76894907,-101.541279,6,NBOHR_RN,13.455
circle,28.5148571,-96.79738374,6,NCARBIDEG8,12.53083333
circle,26.34546246,-98.20212941,6,NEDIN_CC1,14.80333333
circle,27.82289502,-97.44218503,6,NUECES_B_CC1,13.40416667
circle,32.04947424,-102.8078529,6,NWF_NWF1,14.04083333
circle,31.84375578,-102.324252,6,OECCS_CC1,14.79416667
circle,31.18919705,-96.52104032,6,OGSES_1,12.52
circle,33.05936485,-96.47498309,6,OLIN_OLING_1,12.565
circle,32.10557927,-101.3800786,6,OWF_OWF,14.82916667
circle,27.82289502,-97.60338535,6,OXY_OXY_CCG1,14.81416667
circle,26.3080591,-97.51127088,6,PALMWI_UNIT1,13.03916667
circle,33.56431015,-96.63618341,6,PANDA_S_CC1,14.25333333
circle,31.05828531,-97.32704194,6,PANDA_T2_CC1,14.20416667
circle,27.95380676,-97.44218503,6,PAP1_PAP1,14.18916667
circle,31.58193229,-102.9690533,6,PB2SES_CT1,12.74166667
circle,32.14298263,-101.4721931,6,PC_NORTH_1,12.53
circle,28.92629402,-99.1002455,6,PEARSA_1_24,14.78666667
circle,27.01872286,-97.62641397,6,PENA_ALL,12.76583333
circle,35.39707459,-101.1728211,6,PH1_UNIT1_2,14.8125
circle,31.84375578,-102.8769388,6,PHOEBE_ALL,14.81916667
circle,29.48734436,-95.66898147,6,PNPI_GT2_RN,12.48
circle,29.69306281,-95.27749497,6,PR_PR_G2,12.455
circle,29.82397456,-95.13932326,6,PSA_CC1,14.90416667
circle,32.53571786,-100.7352774,6,PYR_PYRON1,13.35166667
circle,31.84375578,-102.324252,6,QALSW_CC1,12.53
circle,31.02088195,-101.6794507,6,RANCHERO_ALL,15.09416667
circle,28.90759234,-97.16584162,6,RAYBURN_CC1,12.50166667
circle,32.90975142,-101.2419069,6,RDCAN_RDCNY1,14.81916667
circle,26.49507588,-97.71852844,6,REDFISH_ALL,12.5575
circle,26.45767253,-98.20212941,6,REDGATE_ALL,13.0375
circle,30.8899702,-102.8308816,6,REROCK_ALL,12.41
circle,30.59074336,-97.69549982,6,RHESS2_ESS1,13.06583333
circle,30.98347859,-102.7387671,6,RIGGIN_UNIT1,14.7975
circle,29.59955442,-97.99487185,6,RIONOG_CC1,14.80916667
circle,33.20897827,-97.23492747,6,RN_DEC_AGR_A,14.90416667
circle,32.03077256,-102.6927099,6,RN_ECEC_HOLT,13.56666667
circle,29.2816259,-98.45544421,6,RN_OCI_ALAMO,13.81083333
circle,31.22660041,-99.58384647,6,RN_RTS1,14.32416667
circle,26.139744,-97.39612779,6,RN_SR_WIND1,14.31083333
circle,32.16168431,-101.4952217,6,RN_TOSBATT,13.15166667
circle,35.21005781,-101.541279,6,ROUTE66_RN,12.37666667
circle,31.69414236,-101.4261359,6,RSK_RN,14.81166667
circle,33.32118834,-99.67596094,6,SALVTION_GEN,13.16166667
circle,30.2167098,-97.62641397,6,SANDHSYD_CC1,14.81916667
circle,27.61717656,-97.55732812,6,SANTACRU_ALL,12.38666667
circle,28.70187388,-98.50150144,6,SAN_SANMIGG1,14.21916667
circle,31.93726417,-95.02418018,6,SC2SES_UNIT1,14.65833333
circle,31.46972222,-96.98161268,6,SCES_UNIT1,13.04166667
circle,29.07590744,-95.76109594,6,SCLP_SCLPC_1,13.10333333
circle,30.57204168,-97.09675576,6,SDSES_PUN1,13.01666667
circle,33.19027659,-98.38635835,6,SENATEWD_1,13.01666667
circle,32.23649102,-101.3800786,6,SGM_SIGNALMT,13.36416667
circle,27.59847488,-97.67247121,6,SHAFFER_ALL,12.4
circle,33.5269068,-98.38635835,6,SHANNONW_RN,12.67583333
circle,25.93402554,-97.5342995,6,SILASRAY_CC1,13.03666667
circle,30.8899702,-102.3012234,6,SIRIUS_UNIT1,13.455
circle,29.71176449,-95.07023741,6,SJS_SJS_G1,14.81416667
circle,29.54344939,-96.59012618,6,SKY1,14.4375
circle,34.966936,-100.8964777,6,SLTFRK_UN1_2,12.6225
circle,33.05936485,-99.69898956,6,SOLARA_UNIT1,12.5625
circle,34.14406217,-101.3800786,6,SPLAIN1_RN,12.66333333
circle,34.06925546,-101.3800786,6,SPLAIN2_RN,12.66333333
circle,33.19027659,-97.11978438,6,SPNC_SPNCE_4,12.66333333
circle,31.22660041,-102.3012234,6,SPTX12B_RN,12.67583333
circle,32.94715478,-101.6103648,6,SRWE1_UNIT1,14.22833333
circle,35.21005781,-102.1860803,6,SSPURT_WIND1,13.425
circle,33.17157492,-96.15258244,6,STEAM_ENG123,13.55166667
circle,26.96261783,-97.67247121,6,STELLA_RN,14.38416667
circle,28.79538227,-96.08349659,6,STP_STP_G1,14.81416667
circle,32.40480612,-100.2286478,6,STWF_T1,14.18416667
circle,32.23649102,-101.840651,6,SWEC_G1,12.74166667
circle,32.32999941,-100.3668195,6,SWEETWN2_2_4,12.74166667
circle,32.46091115,-100.3437909,6,SWEETWND_1,13.97083333
circle,32.29259605,-100.5049912,6,SWTWN4_WND45,13.42916667
circle,33.54560847,-99.21538859,6,S_HILLS_RN,14.8375
circle,32.98455814,-101.6794507,6,TAHOKA_ALL,12.6225
circle,29.71176449,-95.43869529,6,TC_TCHP1,13.10166667
circle,32.38610444,-97.41915641,6,TEN_CC1,13.57916667
circle,32.01207088,-94.65572229,6,TGCCS_CC1,12.1575
circle,29.26292422,-95.92229626,6,TGF_TGFGT,14.24416667
circle,27.13093293,-97.55732812,6,TGW_T1_T2,13.33166667
circle,29.93618463,-95.55383838,6,THW_CC1,14.24416667
circle,32.44220947,-100.6661915,6,TKWSW_CHAMP,12.96833333
circle,32.49831451,-100.6892201,6,TKWSW_ROSCOE,14.79416667
circle,31.09568866,-96.72829788,6,TNP_TNP_O_1,13.00083333
circle,33.71392358,-95.59989562,6,TNSKA_CC1,14.25333333
circle,27.63587824,-98.86995932,6,TORR_ALL,12.36083333
circle,32.44220947,-100.2286478,6,TRENT_TRENT,13.24666667
circle,33.39599505,-98.77784485,6,TRINITY_ALL,14.66916667
circle,32.12428095,-96.12955382,6,TRSES_UNIT6,12.79083333
circle,32.21778934,-100.274705,6,TTWEC_G1,13.11833333
circle,29.37513429,-94.97812294,6,TXCTY_CC1,13.35166667
circle,33.71392358,-97.41915641,6,TYLRWIND_RN,14.79166667
circle,29.37513429,-94.97812294,6,UCC_UCC_C_2,13.32166667
circle,33.62041519,-99.39961753,6,VERTIGO_UN1,14.66333333
circle,28.79538227,-97.02766991,6,VICTORIA_CC1,14.47833333
circle,33.73262525,-101.0116208,6,WAKEWE_ALL,12.13416667
circle,29.48734436,-95.66898147,6,WAP_WAPGT_1,13.165
circle,30.98347859,-102.2321375,6,WAYMARK_RN,13.67916667
